,accuracy,precision,recall,f1_score,far,frr,tar,trr,true_positives,true_negatives,false_positives,false_negatives,total_genuine,total_forged,confusion_matrix,roc_auc,average_precision,eer,eer_threshold
CNN,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,30,0,30,30,30,"[[30, 0], [30, 0]]",0.2622222222222222,0.3735294197965501,0.7,0.23824761807918549
GBM,0.5166666666666667,0.5217391304347826,0.4,0.4528301886792453,0.36666666666666664,0.6,0.4,0.6333333333333333,12,19,11,18,30,30,"[[19, 11], [18, 12]]",0.59,0.6551160598339455,0.5,0.22950847446918488
Autoencoder,0.4666666666666667,0.4827586206896552,0.9333333333333333,0.6363636363636364,1.0,0.06666666666666667,0.9333333333333333,0.0,28,0,30,2,30,30,"[[0, 30], [2, 28]]",0.30333333333333334,0.3903845910313331,0.6333333333333333,0.479226678609848
